horizon,impulse,response,irf,lower,upper
0,dgs10_change,btc_return,-0.13171789019889252,-0.31954812255377063,0.05954780365022123
1,dgs10_change,btc_return,-0.08682735751749088,-0.2574668957244871,0.08237609698432741
2,dgs10_change,btc_return,0.00499152902775519,-0.007020092891161288,0.019200301646941996
3,dgs10_change,btc_return,-2.6590419211487926e-4,-0.0018104446443301936,0.001085861897299803
4,dgs10_change,btc_return,1.8724449388908077e-5,-2.2483546220874995e-4,2.882344645328449e-4
5,dgs10_change,btc_return,-2.6982300250464257e-6,-5.5106840271914776e-5,4.2009442960555995e-5
6,dgs10_change,btc_return,5.230149361153176e-7,-8.37851584578722e-6,1.2784899787746798e-5
7,dgs10_change,btc_return,-1.040722595955094e-7,-2.717877958452111e-6,1.8640081965261937e-6
8,dgs10_change,btc_return,2.0536685968932175e-8,-3.8948919560629604e-7,5.670910380731523e-7
9,dgs10_change,btc_return,-4.0348252422632606e-9,-1.2488070023006414e-7,8.297286837368507e-8
10,dgs10_change,btc_return,7.917643879148927e-10,-1.686866364380633e-8,2.8401145033795808e-8
11,dgs10_change,btc_return,-1.5533495791419798e-10,-5.913184596978576e-9,3.567313371175365e-9
12,dgs10_change,btc_return,3.047422377608605e-11,-7.584262705799896e-10,1.2869212020491639e-9
13,dgs10_change,btc_return,-5.978571926814962e-12,-2.806387262110137e-10,1.581634314820293e-10
14,dgs10_change,btc_return,1.1729061679018908e-12,-3.3022485769979405e-11,6.145594988345948e-11
15,dgs10_change,btc_return,-2.3010676484157773e-13,-1.371191622864882e-11,7.098423966079205e-12
16,dgs10_change,btc_return,4.5143535136651274e-14,-1.5802010992545926e-12,3.061849133522925e-12
17,dgs10_change,btc_return,-8.856492339710662e-15,-6.874211141935869e-13,3.5624194240918917e-13
18,dgs10_change,btc_return,1.7375124978901604e-15,-8.034069700741212e-14,1.6207309056400697e-13
19,dgs10_change,btc_return,-3.4087419272971515e-16,-3.946708012862597e-14,1.8135980299028546e-14
20,dgs10_change,btc_return,6.687446298280357e-17,-3.901555873089107e-15,8.99058943083957e-15
