horizon,impulse,response,irf,lower,upper
0,sp500_return,btc_return,1.0271766168458165,0.6732318555590924,1.4302014717603346
1,sp500_return,btc_return,-0.07494716561761275,-0.23532400651658059,0.07555269582639268
2,sp500_return,btc_return,0.007052249728617195,-0.027689303747485235,0.04537572962793402
3,sp500_return,btc_return,-9.716663759373453e-4,-0.008740022692709971,0.006320579845016725
4,sp500_return,btc_return,1.7690505386158602e-4,-0.0013129219820627906,0.001806751313962142
5,sp500_return,btc_return,-3.44964776047548e-5,-3.848445295688964e-4,2.6398369354856273e-4
6,sp500_return,btc_return,6.779571789572802e-6,-5.4479727655198924e-5,8.072101388518645e-5
7,sp500_return,btc_return,-1.3313277049379363e-6,-1.7224330025514915e-5,1.1449929709609142e-5
8,sp500_return,btc_return,2.6125665334251813e-7,-2.4149450402120177e-6,3.856399231218179e-6
9,sp500_return,btc_return,-5.1257277605506676e-8,-8.380973428449079e-7,5.109355201009396e-7
10,sp500_return,btc_return,1.0055970133581196e-8,-1.112292236633108e-7,1.810847913255904e-7
11,sp500_return,btc_return,-1.9728309653226312e-9,-4.031001205427836e-8,2.4594409939497284e-8
12,sp500_return,btc_return,3.8703999041773577e-10,-5.534047808559197e-9,8.90217088929736e-9
13,sp500_return,btc_return,-7.593149621956284e-11,-1.9495930397677827e-9,1.2000727581516935e-9
14,sp500_return,btc_return,1.489663335697032e-11,-2.6435930885996617e-10,4.343266953419288e-10
15,sp500_return,btc_return,-2.922498602681143e-12,-9.724349049590388e-11,5.914326895727756e-11
16,sp500_return,btc_return,5.733508983721233e-13,-1.3529502250263923e-11,2.2556397718069443e-11
17,sp500_return,btc_return,-1.1248294606424033e-13,-5.246470185955606e-12,3.1308373801658775e-12
18,sp500_return,btc_return,2.2067486401495004e-14,-7.171832385026758e-13,1.2209702888068304e-12
19,sp500_return,btc_return,-4.32931367007632e-15,-2.789782701940048e-13,1.6075885874652935e-13
20,sp500_return,btc_return,8.493471577406576e-16,-3.6035163391363093e-14,6.271212819595339e-14
