horizon,impulse,response,irf,lower,upper
0,vix_change,btc_return,-0.44289483686448866,-0.750776281268748,-0.14726007629412607
1,vix_change,btc_return,-0.038620221801200054,-0.21096136592134762,0.15389408602112442
2,vix_change,btc_return,0.00217704240845583,-0.023507138103225664,0.025647025849521547
3,vix_change,btc_return,1.9568270980483017e-4,-0.0037614494279127396,0.00455752186863158
4,vix_change,btc_return,-7.349084033237525e-5,-8.734365620873052e-4,6.42678951244097e-4
5,vix_change,btc_return,1.5754062038850516e-5,-1.3293800382153584e-4,1.7909543392456804e-4
6,vix_change,btc_return,-3.119352060128258e-6,-3.623956457957181e-5,2.8386967677768294e-5
7,vix_change,btc_return,6.114355351851489e-7,-5.970890981799555e-6,8.005311065281815e-6
8,vix_change,btc_return,-1.1985924383144987e-7,-1.7407597279543703e-6,1.3453369241175448e-6
9,vix_change,btc_return,2.3508695981180362e-8,-3.0347328349445675e-7,3.9390780788178104e-7
10,vix_change,btc_return,-4.611813374138279e-9,-8.688020614853492e-8,6.783905531456873e-8
11,vix_change,btc_return,9.047631909748479e-10,-1.452957733116329e-8,1.953777140670927e-8
12,vix_change,btc_return,-1.7750115021957914e-10,-4.423310114485581e-9,3.059302485257244e-9
13,vix_change,btc_return,3.482310822899082e-11,-6.673729081361703e-10,1.0017543706240164e-9
14,vix_change,btc_return,-6.8317785430471695e-12,-2.21363673252525e-10,1.407733618664736e-10
15,vix_change,btc_return,1.3402937092618735e-12,-3.126321014987874e-11,4.801482987968788e-11
16,vix_change,btc_return,-2.629457564781425e-13,-1.0421467556927352e-11,7.021592803697341e-12
17,vix_change,btc_return,5.158605912011481e-14,-1.5371670398201674e-12,2.3559641301525867e-12
18,vix_change,btc_return,-1.0120420007167856e-14,-5.604208668048394e-13,3.5450158149328496e-13
19,vix_change,btc_return,1.985476364747617e-15,-8.164271046009352e-14,1.3330915685223742e-13
20,vix_change,btc_return,-3.8952102703422707e-16,-3.15946131055509e-14,1.865125996354681e-14
