lag,AIC(n),HQ(n),SC(n),FPE(n)
1,-2.2828785186794134,-2.2648911205180142,-2.2335086976666654,0.10199020575058175
2,-2.298197218937479,-2.2658199022469603,-2.209331541114533,0.10043976690342579
3,-2.3030856981963463,-2.256318462976709,-2.174724163563202,0.09994999824209559
4,-2.330987957426641,-2.269830803677884,-2.1631305659832987,0.09719977104785717
5,-2.3296782364573514,-2.2541311641794755,-2.1223249882038107,0.09732724813291888
6,-2.3294345539576504,-2.239497563150655,-2.0825854488939117,0.09735109842338861
7,-2.3550157171668986,-2.250688807830784,-2.068670755292961,0.09489250240117215
8,-2.3620215111742193,-2.243304683308985,-2.036180692490084,0.09423025751231175
9,-2.3823920218369565,-2.2492852754426034,-2.0170553463426226,0.09233044388999162
10,-2.38283129799731,-2.2353346330738373,-1.977998765692778,0.09229024930077794
